epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6772.34,0.62982,0.8388,0.49997,0.88461,0.96868,0.97646,0.98931,0.89499,0.96868,0.97646,0.98931,0.86506,0.56159,0.79844,0.38922,0.86867,0.002674,0.002674,0.002674
76,6860.52,0.63251,0.82193,0.49402,0.89256,0.96404,0.98201,0.9896,0.88508,0.96404,0.98201,0.9896,0.86594,0.57446,0.79888,0.38876,0.872,0.002575,0.002575,0.002575
77,6948.02,0.62724,0.8486,0.48249,0.88802,0.95589,0.98142,0.98855,0.88596,0.95589,0.98142,0.98855,0.86618,0.56547,0.79188,0.38544,0.86988,0.002476,0.002476,0.002476
78,7038.19,0.62142,0.80702,0.47978,0.89126,0.96799,0.98119,0.98797,0.88585,0.96799,0.98119,0.98797,0.86126,0.55961,0.78861,0.37911,0.86866,0.002377,0.002377,0.002377
79,7127.65,0.61721,0.82653,0.47526,0.88139,0.9678,0.97914,0.98329,0.87969,0.9678,0.97914,0.98329,0.86173,0.5545,0.79074,0.38121,0.86651,0.002278,0.002278,0.002278
80,7217.79,0.62016,0.80715,0.47262,0.90109,0.9678,0.97892,0.98138,0.88519,0.9678,0.97892,0.98138,0.86036,0.54483,0.78279,0.37515,0.8651,0.002179,0.002179,0.002179
81,7307.14,0.60955,0.81845,0.46739,0.88318,0.96969,0.98885,0.98489,0.89346,0.96969,0.98885,0.98489,0.86713,0.54476,0.78783,0.37354,0.86307,0.00208,0.00208,0.00208
82,7399.26,0.61569,0.84186,0.47431,0.88663,0.97138,0.98815,0.98579,0.895,0.97138,0.98815,0.98579,0.86908,0.53968,0.77925,0.37301,0.86274,0.001981,0.001981,0.001981
83,7487.75,0.60418,0.82748,0.48119,0.88013,0.96254,0.99047,0.98585,0.89591,0.96254,0.99047,0.98585,0.86863,0.5381,0.78852,0.37471,0.86243,0.001882,0.001882,0.001882
84,7576.45,0.61561,0.80307,0.47412,0.88725,0.96238,0.98899,0.98536,0.89904,0.96238,0.98899,0.98536,0.86805,0.53302,0.77699,0.37204,0.86039,0.001783,0.001783,0.001783
