epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,9424.09,0.63369,0.81772,0.53956,0.88288,0.96264,0.97697,0.98954,0.86692,0.96264,0.97697,0.98954,0.8755,0.55146,0.6851,0.42784,0.90527,0.003664,0.003664,0.003664
66,9556.26,0.65273,0.84157,0.53123,0.90927,0.9661,0.98415,0.9893,0.88097,0.9661,0.98415,0.9893,0.86774,0.5372,0.69007,0.40638,0.9027,0.003565,0.003565,0.003565
67,9688.66,0.63141,0.83879,0.53586,0.89377,0.96715,0.97552,0.98247,0.86651,0.96715,0.97552,0.98247,0.86108,0.52802,0.68835,0.43439,0.90092,0.003466,0.003466,0.003466
68,9819.94,0.623,0.84294,0.52575,0.89863,0.9693,0.9794,0.98263,0.86369,0.9693,0.9794,0.98263,0.85607,0.53675,0.68031,0.43377,0.89979,0.003367,0.003367,0.003367
69,9950.98,0.62495,0.82524,0.51096,0.90207,0.97137,0.98637,0.98253,0.87208,0.97137,0.98637,0.98253,0.86026,0.52129,0.68046,0.40964,0.89234,0.003268,0.003268,0.003268
70,10082,0.62923,0.81079,0.51733,0.89409,0.97046,0.98437,0.97929,0.87176,0.97046,0.98437,0.97929,0.85612,0.53206,0.68848,0.40766,0.89603,0.003169,0.003169,0.003169
71,10213.3,0.60931,0.79557,0.4972,0.88517,0.97419,0.98218,0.98335,0.873,0.97419,0.98218,0.98335,0.86088,0.52012,0.69746,0.41316,0.89634,0.00307,0.00307,0.00307
72,10344.4,0.62345,0.82588,0.53561,0.90008,0.97528,0.9848,0.98949,0.87888,0.97528,0.9848,0.98949,0.86654,0.52682,0.6863,0.39142,0.89308,0.002971,0.002971,0.002971
73,10475.3,0.6078,0.78329,0.49129,0.89827,0.97543,0.98494,0.98986,0.88747,0.97543,0.98494,0.98986,0.8702,0.51971,0.68087,0.38293,0.89043,0.002872,0.002872,0.002872
74,10606.8,0.62862,0.78709,0.51916,0.89929,0.97079,0.98496,0.99002,0.88377,0.97079,0.98496,0.99002,0.86998,0.513,0.68587,0.3854,0.88785,0.002773,0.002773,0.002773
